ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,10643,10643,ALFKI,6,6,1997-08-25 00:00:00,1997-08-25 00:00:00,1997-09-22 00:00:00,1997-09-22 00:00:00,1997-09-02 00:00:00,1997-09-02 00:00:00,1,1,29.4600,29.4600,Alfreds Futterkiste,Alfreds Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,10692,10692,ALFKI,4,4,1997-10-03 00:00:00,1997-10-03 00:00:00,1997-10-31 00:00:00,1997-10-31 00:00:00,1997-10-13 00:00:00,1997-10-13 00:00:00,2,2,61.0200,61.0200,Alfred's Futterkiste,Alfred's Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,10702,10702,ALFKI,4,4,1997-10-13 00:00:00,1997-10-13 00:00:00,1997-11-24 00:00:00,1997-11-24 00:00:00,1997-10-21 00:00:00,1997-10-21 00:00:00,1,1,23.9400,23.9400,Alfred's Futterkiste,Alfred's Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,10835,10835,ALFKI,1,1,1998-01-15 00:00:00,1998-01-15 00:00:00,1998-02-12 00:00:00,1998-02-12 00:00:00,1998-01-21 00:00:00,1998-01-21 00:00:00,3,3,69.5300,69.5300,Alfred's Futterkiste,Alfred's Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,10952,10952,ALFKI,1,1,1998-03-16 00:00:00,1998-03-16 00:00:00,1998-04-27 00:00:00,1998-04-27 00:00:00,1998-03-24 00:00:00,1998-03-24 00:00:00,1,1,40.4200,40.4200,Alfred's Futterkiste,Alfred's Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ALFKI,ALFKI,Alfreds Futterkiste,Alfreds Futterkiste,Maria Anders,Maria Anders,Sales Representative,Sales Representative,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,030-0074321,030-0074321,030-0076545,030-0076545,11011,11011,ALFKI,3,3,1998-04-09 00:00:00,1998-04-09 00:00:00,1998-05-07 00:00:00,1998-05-07 00:00:00,1998-04-13 00:00:00,1998-04-13 00:00:00,1,1,1.2100,1.2100,Alfred's Futterkiste,Alfred's Futterkiste,Obere Str. 57,Obere Str. 57,Berlin,Berlin,,,12209,12209,Germany,Germany,
ANATR,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Ana Trujillo,Ana Trujillo,Owner,Owner,Avda. de la Constituci?n 2222,Avda. de la Constituci?n 2222,M?xico D.F.,M?xico D.F.,,,05021,05021,Mexico,Mexico,(5) 555-4729,(5) 555-4729,(5) 555-3745,(5) 555-3745,10308,10308,ANATR,7,7,1996-09-18 00:00:00,1996-09-18 00:00:00,1996-10-16 00:00:00,1996-10-16 00:00:00,1996-09-24 00:00:00,1996-09-24 00:00:00,3,3,1.6100,1.6100,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,Avda. de la Constitución 2222,México D.F.,México D.F.,,,05021,05021,Mexico,Mexico,
ANATR,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Ana Trujillo,Ana Trujillo,Owner,Owner,Avda. de la Constituci?n 2222,Avda. de la Constituci?n 2222,M?xico D.F.,M?xico D.F.,,,05021,05021,Mexico,Mexico,(5) 555-4729,(5) 555-4729,(5) 555-3745,(5) 555-3745,10625,10625,ANATR,3,3,1997-08-08 00:00:00,1997-08-08 00:00:00,1997-09-05 00:00:00,1997-09-05 00:00:00,1997-08-14 00:00:00,1997-08-14 00:00:00,1,1,43.9000,43.9000,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,Avda. de la Constitución 2222,México D.F.,México D.F.,,,05021,05021,Mexico,Mexico,
ANATR,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Ana Trujillo,Ana Trujillo,Owner,Owner,Avda. de la Constituci?n 2222,Avda. de la Constituci?n 2222,M?xico D.F.,M?xico D.F.,,,05021,05021,Mexico,Mexico,(5) 555-4729,(5) 555-4729,(5) 555-3745,(5) 555-3745,10759,10759,ANATR,3,3,1997-11-28 00:00:00,1997-11-28 00:00:00,1997-12-26 00:00:00,1997-12-26 00:00:00,1997-12-12 00:00:00,1997-12-12 00:00:00,3,3,11.9900,11.9900,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,Avda. de la Constitución 2222,México D.F.,México D.F.,,,05021,05021,Mexico,Mexico,
ANATR,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Ana Trujillo,Ana Trujillo,Owner,Owner,Avda. de la Constituci?n 2222,Avda. de la Constituci?n 2222,M?xico D.F.,M?xico D.F.,,,05021,05021,Mexico,Mexico,(5) 555-4729,(5) 555-4729,(5) 555-3745,(5) 555-3745,10926,10926,ANATR,4,4,1998-03-04 00:00:00,1998-03-04 00:00:00,1998-04-01 00:00:00,1998-04-01 00:00:00,1998-03-11 00:00:00,1998-03-11 00:00:00,3,3,39.9200,39.9200,Ana Trujillo Emparedados y helados,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,Avda. de la Constitución 2222,México D.F.,México D.F.,,,05021,05021,Mexico,Mexico,
